"SEX AND AGE","","","","","1"
"    Total population","1,781,641","*****","1,781,641","(X)","2"
"        Male","864,475","±50","48.5%","±0.1","3"
"        Female","917,166","±50","51.5%","±0.1","4"
"        Sex ratio (males per 100 females)","94.3","±0.1","(X)","(X)","5"
"        Under 5 years","113,837","±48","6.4%","±0.1","6"
"        5 to 9 years","112,593","±1,903","6.3%","±0.1","7"
"        10 to 14 years","121,537","±1,896","6.8%","±0.1","8"
"        15 to 19 years","114,949","±26","6.5%","±0.1","9"
"        20 to 24 years","113,335","±25","6.4%","±0.1","10"
"        25 to 34 years","255,583","±41","14.3%","±0.1","11"
"        35 to 44 years","210,996","±44","11.8%","±0.1","12"
"        45 to 54 years","224,266","±37","12.6%","±0.1","13"
"        55 to 59 years","116,328","±2,046","6.5%","±0.1","14"
"        60 to 64 years","116,762","±2,044","6.6%","±0.1","15"
"        65 to 74 years","169,483","±36","9.5%","±0.1","16"
"        75 to 84 years","77,737","±1,115","4.4%","±0.1","17"
"        85 years and over","34,235","±1,113","1.9%","±0.1","18"
"        Median age (years)","37.7","±0.2","(X)","(X)","19"
"        Under 18 years","420,181","*****","23.6%","*****","20"
"        16 years and over","1,408,500","±998","79.1%","±0.1","21"
"        18 years and over","1,361,460","*****","76.4%","*****","22"
"        21 years and over","1,295,915","±1,239","72.7%","±0.1","23"
"        62 years and over","349,580","±1,843","19.6%","±0.1","24"
"        65 years and over","281,455","±19","15.8%","±0.1","25"
"        18 years and over","1,361,460","*****","1,361,460","(X)","26"
"            Male","649,362","±21","47.7%","±0.1","27"
"            Female","712,098","±22","52.3%","±0.1","28"
"            Sex ratio (males per 100 females)","91.2","±0.1","(X)","(X)","29"
"        65 years and over","281,455","±19","281,455","(X)","30"
"            Male","120,583","±18","42.8%","±0.1","31"
"            Female","160,872","±25","57.2%","±0.1","32"
"            Sex ratio (males per 100 females)","75.0","±0.1","(X)","(X)","33"
