CCN,Hospital Name,Street Address,City,State,Zip Code,Telephone Number,Hospital Type,Effective Date of Certification
230001,ASCENSION BORGESS HOSPITAL,1521 GULL RD,KALAMAZOO,MI,49048,(269) 226-7000,Short Term,11/16/1965
230007,ASCENSION ST JOHN HOSPITAL,22101 MOROSS RD,DETROIT,MI,48236,(313) 343-4000,Short Term,11/16/1965
230010,HOLLAND COMMUNITY HOSPITAL,602 MICHIGAN AVE,HOLLAND,MI,49423,(616) 392-5141,Short Term,11/16/1965
230013,MCLAREN BAY REGION,1900 COLUMBUS AVE,BAY CITY,MI,48708,(989) 894-3000,Short Term,11/16/1965
230018,HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,48202,(313) 916-2600,Short Term,11/16/1965
230020,COVENANT MEDICAL CENTER,1447 N HARRISON,SAGINAW,MI,48602,(989) 583-0000,Short Term,11/16/1965
230021,MCLAREN FLINT,401 S BALLENGER HWY,FLINT,MI,48532,(810) 342-2000,Short Term,11/16/1965
230022,UNIVERSITY OF MICHIGAN HEALTH-METRO HEALTH,5900 BYRON CENTER AVE SW,WYOMING,MI,49519,(616) 252-7200,Short Term,11/16/1965
230026,MCLAREN NORTHERN MICHIGAN,416 CONNABLE AVE,PETOSKEY,MI,49770,(231) 487-4000,Short Term,11/16/1965
230027,MIDMICHIGAN MEDICAL CENTER-MIDLAND,4005 ANDREWS HWY,MIDLAND,MI,48670,(989) 839-3000,Short Term,11/16/1965
230029,HENRY FORD WYANDOTTE HOSPITAL,2333 BIDDLE AVE,WYANDOTTE,MI,48192,(734) 246-6000,Short Term,11/16/1965
230034,BRONSON METHODIST HOSPITAL,601 JOHN ST,KALAMAZOO,MI,49007,(269) 341-7654,Short Term,11/16/1965
230045,MCLAREN GREATER LANSING,401 W GREENLAWN AVE,LANSING,MI,48910,(517) 975-6000,Short Term,11/16/1965
230055,UP HEALTH SYSTEM - MARQUETTE,850 W BARAGA AVE,MARQUETTE,MI,49855,(906) 449-3000,Short Term,11/16/1965
230056,MUNSON MEDICAL CENTER,1105 SIXTH ST,TRAVERSE CITY,MI,49684,(231) 935-5000,Short Term,11/16/1965
230063,PROMEDICA MONROE REGIONAL HOSPITAL,718 N MACON ST,MONROE,MI,48162,(734) 240-8400,Short Term,11/16/1965
230064,ASCENSION ST MARY'S HOSPITAL,800 S WASHINGTON,SAGINAW,MI,48601,(989) 907-8000,Short Term,11/16/1965
