Location,Count,latitude,longitude
W Grand Blvd & Lincoln St,4931,42.3666953434632,-83.0825843114142
Lesure St & W Outer Dr,4117,42.4200710574118,-83.182352757929
Moross Rd & Northdeuft Blvd,3756,42.41843008075,-82.9136115448958
Mack Ave & Beaubien St,3500,42.3497178725548,-83.0524118518334
Gratiot Ave & 8 Mile Rd,2967,42.4498438025387,-82.9679428414891
Van Dyke St & E 7 Mile Rd,2821,42.4339779453245,-83.0242614652819
Mack Ave & Mount Elliott St,2698,42.3612996143356,-83.021617029758
N I 75 Service Drive & Mack Ave,2647,42.3515090655925,-83.0474947705203
Greenfield Rd & Plymouth Rd,2644,42.3725682387206,-83.1975648307866
,2638,,
W 7 Mile Rd & Grandview St,2542,42.428635713087,-83.2853562111519
Hayes St & E 7 Mile Rd,2536,42.4354312874175,-82.9654762061869
Grand Service Drive & Linwood St,2530,42.3602120827401,-83.0998784352698
Greenfield Rd & Chalfonte St,2480,42.3993129061538,-83.1986440740885
Pitt St & Central St,2417,42.3145125827316,-83.1256685669277
W McNichols Rd & Livernois Ave,2293,42.4171552151637,-83.1409551607777
Schaefer Hwy & W McNichols Rd,2291,42.416598675301,-83.1798105729848
Cadieux Rd & Harper Ave,2269,42.4164444333366,-82.9366415421032
E 7 Mile Rd & E Outer Dr,2247,42.4341783175367,-83.0143464594462
Chalmers St & E 7 Mile Rd,2217,42.4351409173942,-82.9752848212898
Woodward Ave & W Stimson St,2208,42.3464830285312,-83.0572741198695
Greenfield Rd & W 7 Mile Rd,2158,42.4304302852813,-83.1998782143603
Bagley St & 3rd St,2151,42.3322742352429,-83.0578814872374
Wyoming St & 8 Mile Rd,2145,42.4456536873349,-83.1615090517144
E Lafayette St & Beaubien St,2129,42.3340056838677,-83.04200000369
W McNichols Rd & E McNichols Rd,2098,42.4178366141151,-83.101816246613
Macomb St & Chene St,2078,42.343030027516,-83.0257992793559
Telegraph Rd & W 7 Mile Rd,2073,42.4289473132636,-83.2775655745995
E 7 Mile Rd & Gratiot Ave,2068,42.4350856409343,-82.9777003501481
Clairmount St & Woodward Ave,2019,42.382822817521,-83.0817421907804
Lahser Rd & 8 Mile Rd,2011,42.4432429510994,-83.2588558334966
Waverly & Dexter Ave,1945,42.3891257500105,-83.1304534394601
Grand River Ave & Livernois Ave,1926,42.368672940694,-83.1388065380308
8 Mile Rd & Ralston St,1846,42.4466019791112,-83.1174842125906
W Davison St & Linwood St,1846,42.3930267874313,-83.1220348777176
Schaefer Hwy & Florence St,1846,42.4118079859423,-83.1795842808124
Fullerton St & Linwood St,1843,42.3886648936388,-83.1190942163381
E Alexandrine St & W Alexandrine St,1842,42.3505853117241,-83.0600213335847
E Jefferson Ave & Saint Aubin St,1839,42.3359464335879,-83.0279936848441
Elijah McCoy Dr & Lincoln St,1809,42.358928058606,-83.0812800366219
Grand River Ave & W McNichols Rd,1788,42.4146794746697,-83.2530440498945
E Adams Ave & Woodward Ave,1766,42.3369889123082,-83.0508945664289
E Outer Dr & ,1752,42.4391285426617,-83.0164494581425
W I 96 Service Drive & W Grand Blvd,1749,42.3563063303889,-83.1106792220146
W Chicago St & Greenfield Rd,1725,42.3653733469084,-83.1972902746387
Chene St & E Jefferson Ave,1725,42.3382534611989,-83.0226510299466
Peterboro St & Woodward Ave,1701,42.3454176968508,-83.0565611005441
3rd St & Peterboro St,1697,42.3429254386872,-83.0644901200212
Puritan St & Schaefer Hwy,1693,42.4093690123304,-83.1794706732189
Cadillac Ave & Gratiot Ave,1678,42.3935660663497,-83.0049542858306
