CCN,Hospital Name,Street Address,City,State,Zip Code,Telephone Number,Hospital Type,Effective Date of Certification,full_address,latitude,longitude
230001,ASCENSION BORGESS HOSPITAL,1521 GULL RD,KALAMAZOO,MI,49048,(269) 226-7000,Short Term,11/16/1965,"1521 GULL RD, KALAMAZOO, MI 49048",42.3078344,-85.5598401
230007,ASCENSION ST JOHN HOSPITAL,22101 MOROSS RD,DETROIT,MI,48236,(313) 343-4000,Short Term,11/16/1965,"22101 MOROSS RD, DETROIT, MI 48236",42.4203545,-82.9137419
230010,HOLLAND COMMUNITY HOSPITAL,602 MICHIGAN AVE,HOLLAND,MI,49423,(616) 392-5141,Short Term,11/16/1965,"602 MICHIGAN AVE, HOLLAND, MI 49423",42.7741423,-86.1145878
230013,MCLAREN BAY REGION,1900 COLUMBUS AVE,BAY CITY,MI,48708,(989) 894-3000,Short Term,11/16/1965,"1900 COLUMBUS AVE, BAY CITY, MI 48708",43.5874648,-83.868388
230018,HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,48202,(313) 916-2600,Short Term,11/16/1965,"2799 W GRAND BLVD, DETROIT, MI 48202",42.3678522,-83.0855196
230020,COVENANT MEDICAL CENTER,1447 N HARRISON,SAGINAW,MI,48602,(989) 583-0000,Short Term,11/16/1965,"1447 N HARRISON, SAGINAW, MI 48602",43.4284712,-83.9566919
230021,MCLAREN FLINT,401 S BALLENGER HWY,FLINT,MI,48532,(810) 342-2000,Short Term,11/16/1965,"401 S BALLENGER HWY, FLINT, MI 48532",43.0138518,-83.7326175
230022,UNIVERSITY OF MICHIGAN HEALTH-METRO HEALTH,5900 BYRON CENTER AVE SW,WYOMING,MI,49519,(616) 252-7200,Short Term,11/16/1965,"5900 BYRON CENTER AVE SW, WYOMING, MI 49519",42.858396,-85.7170681
230026,MCLAREN NORTHERN MICHIGAN,416 CONNABLE AVE,PETOSKEY,MI,49770,(231) 487-4000,Short Term,11/16/1965,"416 CONNABLE AVE, PETOSKEY, MI 49770",45.3729582,-84.970761
230027,MIDMICHIGAN MEDICAL CENTER-MIDLAND,4005 ANDREWS HWY,MIDLAND,MI,48670,(989) 839-3000,Short Term,11/16/1965,"4005 ANDREWS HWY, MIDLAND, MI 48670",,
