Call_Type,Location,Count,latitude,longitude
General Disturbance,Grand Service Drive & Linwood St,1609,42.3602120827401,-83.0998784352698
General Disturbance,W 7 Mile Rd & Grandview St,1601,42.428635713087,-83.2853562111519
General Disturbance,N I 75 Service Drive & Mack Ave,1388,42.3515090655925,-83.0474947705203
General Disturbance,Hayes St & E 7 Mile Rd,1323,42.4354312874175,-82.9654762061869
General Disturbance,Chalmers St & E 7 Mile Rd,1182,42.4351409173942,-82.9752848212898
General Disturbance,Wyoming St & 8 Mile Rd,1177,42.4456536873349,-83.1615090517144
General Disturbance,W I 96 Service Drive & W Grand Blvd,1099,42.3563063303889,-83.1106792220146
General Disturbance,Cadillac Ave & Gratiot Ave,1088,42.3935660663497,-83.0049542858306
General Disturbance,Fullerton St & Linwood St,1085,42.3886648936388,-83.1190942163381
Report of a Shooting/Cutting/Penetrating Wound,Lesure St & W Outer Dr,1069,42.4200710574118,-83.182352757929
General Disturbance,Greenfield Rd & Plymouth Rd,1008,42.3725682387206,-83.1975648307866
General Disturbance,E 7 Mile Rd & E Outer Dr,1006,42.4341783175367,-83.0143464594462
General Disturbance,Waverly & Dexter Ave,980,42.3891257500105,-83.1304534394601
General Disturbance,Dexter Ave & Atkinson St,958,42.370783047986,-83.1180578397238
General Disturbance,Anderdon Ave & Mack Service Drive,893,42.3841381860412,-82.9669050672359
General Disturbance,Strathmoor St & Fenkell St,890,42.4018584467712,-83.1877755367131
General Disturbance,Woodward Ave & Edison St,888,42.3846099601761,-83.082944474256
General Disturbance,E Lafayette St & Beaubien St,868,42.3340056838677,-83.04200000369
General Disturbance,Gratiot Ave & 8 Mile Rd,862,42.4498438025387,-82.9679428414891
General Disturbance,W McNichols Rd & Livernois Ave,856,42.4171552151637,-83.1409551607777
General Disturbance,W McNichols Rd & E McNichols Rd,852,42.4178366141151,-83.101816246613
General Disturbance,Puritan St & Schaefer Hwy,838,42.4093690123304,-83.1794706732189
General Disturbance,S I 375 Service Drive & E Jefferson Ave,833,42.3324292645152,-83.0362968100005
General Disturbance,Van Dyke St & E 7 Mile Rd,832,42.4339779453245,-83.0242614652819
General Disturbance,Schaefer Hwy & W McNichols Rd,820,42.416598675301,-83.1798105729848
General Disturbance,W 7 Mile Rd & Southfield Service Drive,815,42.4300355956528,-83.218897497664
General Disturbance,Cadieux Rd & Harper Ave,808,42.4164444333366,-82.9366415421032
General Disturbance,E Jefferson Ave & Saint Aubin St,804,42.3359464335879,-83.0279936848441
General Disturbance,Clairmount St & Woodward Ave,802,42.382822817521,-83.0817421907804
General Disturbance,Gratiot Ave & Mohican St,790,42.4455727120629,-82.9707857778363
General Disturbance,Woodward Ave & W Stimson St,782,42.3464830285312,-83.0572741198695
Medical EMS Call for Trouble/Forced Entry,3rd St & Peterboro St,776,42.3429254386872,-83.0644901200212
General Disturbance,Harper Ave & Dickerson St,758,42.4020941520824,-82.9733748088296
General Disturbance,Linwood St & W Euclid St,717,42.3672921212589,-83.1046394385887
Report of a Shooting/Cutting/Penetrating Wound,Moross Rd & Northdeuft Blvd,699,42.41843008075,-82.9136115448958
General Disturbance,Pitt St & Central St,682,42.3145125827316,-83.1256685669277
Report of a Shooting/Cutting/Penetrating Wound,W Grand Blvd & Lincoln St,675,42.3666953434632,-83.0825843114142
General Disturbance,W Warren Ave & Archdale St,674,42.3433994204222,-83.2148032173912
General Disturbance,Grand River Ave & Livernois Ave,667,42.368672940694,-83.1388065380308
General Disturbance,Ludden St & Mount Elliott St,666,42.3609070196303,-83.0213572950356
General Disturbance,Macomb St & Chene St,665,42.343030027516,-83.0257992793559
General Disturbance,Howard St & 5th St,648,42.3283699584665,-83.0581642121984
Report of an Assault & Battery,W Grand Blvd & Lincoln St,648,42.3666953434632,-83.0825843114142
General Disturbance,Greenfield Rd & Chalfonte St,641,42.3993129061538,-83.1986440740885
General Disturbance,Prest St & Joy Rd,640,42.3581586655458,-83.195917364637
General Disturbance,Schoolcraft St & Winthrop St,632,42.387033137209,-83.1991935613467
General Disturbance,Morang Dr & McKinney Ave,621,42.4227675795263,-82.9417759860613
General Disturbance,Bagley St & 3rd St,616,42.3322742352429,-83.0578814872374
General Disturbance,Chene St & E Jefferson Ave,610,42.3382534611989,-83.0226510299466
General Disturbance,E McNichols Rd & Conant St,599,42.4186612765099,-83.063615195259
