"Lesure St & W Outer Dr","1069"
"Moross Rd & Northdeuft Blvd","699"
"W Grand Blvd & Lincoln St","675"
"Mack Ave & Beaubien St","334"
"Chapel St & W McNichols Rd","105"
"Warwick St & Plymouth Rd","98"
"Chandler Park Dr & Moross Rd","57"
"W 7 Mile Rd & Burlington Dr","55"
"W 9 Mile Rd & Providence Dr","40"
"","36"
"Saint Antoine St & Beaubien St","32"
"W Fort St & Lansing St","32"
"E Nevada St & Conley St","32"
"Anderdon Ave & Goethe St","29"
"Trumbull St & W Grand Blvd","28"
"Oakwood Hospital Service Dr & Oakwood Blvd","27"
"E Willis St & John R St","21"
"W Outer Dr & Coyle St","21"
"Gunston St & Gratiot Ave","15"
"Evergreen Rd & Hubbard Dr","13"
"John R St & Garfield St","12"
"John R St & E Alexandrine St","11"
"Junction St & W Fort St","6"
"E Jefferson Ave & Cadieux Rd","6"
"Grand River Ave & Lesure St","6"
"Wyoming St & Schoolcraft St","5"
"Saint Antoine St & Mack Ave","4"
"Mack Ave & Moross Rd","4"
"Livernois Ave & Elmhurst St","4"
"Greenfield Rd & W McNichols Rd","3"
"Cameron St & E Grand Blvd","3"
"Greenfield Rd & Plymouth Rd","3"
"Gunston St & Kennebec St","3"
"E 7 Mile Rd & Gratiot Ave","3"
"W Chicago St & Braile St","3"
"W 7 Mile Rd & W Outer Dr","3"
"Van Dyke St & E 7 Mile Rd","3"
"N I 75 Service Drive & 8 Mile Rd","3"
"Saint Antoine St & Clinton St","3"
"Schaefer Hwy & W McNichols Rd","3"
"French Rd & Gratiot Ave","3"
"Dale St & Riverview St","3"
"W 7 Mile Rd & Heyden St","3"
"Rossiter St & Morang Dr","2"
"Henderson St & Renville St","2"
"Macomb St & Chene St","2"
"Lauder St & Belton St","2"
"Castleton St & Schaefer Hwy","2"
"Hubbell St & Orangelawn St","2"
"Saint Marys St & Puritan St","2"
