Location,Count,latitude,longitude
Lesure St & W Outer Dr,1069,42.4200710574118,-83.182352757929
Moross Rd & Northdeuft Blvd,699,42.41843008075,-82.9136115448958
W Grand Blvd & Lincoln St,675,42.3666953434632,-83.0825843114142
Mack Ave & Beaubien St,334,42.3497178725548,-83.0524118518334
Chapel St & W McNichols Rd,105,42.4146707545469,-83.253855137023
Warwick St & Plymouth Rd,98,42.3720374983549,-83.2277004010599
Chandler Park Dr & Moross Rd,57,42.4190156911897,-82.915039661767
W 7 Mile Rd & Burlington Dr,55,42.4321214842705,-83.1183655332145
W 9 Mile Rd & Providence Dr,40,42.4591597471,-83.2067288779194
,36,,
Saint Antoine St & Beaubien St,32,42.3531904811514,-83.053165988994
W Fort St & Lansing St,32,42.3112626286822,-83.0926103866272
E Nevada St & Conley St,32,42.426120081809,-83.052005109707
Anderdon Ave & Goethe St,29,42.3806330970986,-82.9646176221024
Trumbull St & W Grand Blvd,28,42.3659547991208,-83.0845468317171
Oakwood Hospital Service Dr & Oakwood Blvd,27,42.2919373541914,-83.2119546926912
E Willis St & John R St,21,42.3525762471991,-83.058667594333
W Outer Dr & Coyle St,21,42.4196817553784,-83.1945966772832
Gunston St & Gratiot Ave,15,42.4085843561939,-82.9951027292375
Evergreen Rd & Hubbard Dr,13,42.3213695732487,-83.2313539650986
John R St & Garfield St,12,42.3546369199115,-83.0600678272001
John R St & E Alexandrine St,11,42.3514525545384,-83.0580036568659
Junction St & W Fort St,6,42.3097697367674,-83.0960425383037
E Jefferson Ave & Cadieux Rd,6,42.3815338796,-82.9136361907895
Grand River Ave & Lesure St,6,42.3852589551055,-83.1799740977505
Wyoming St & Schoolcraft St,5,42.3885087061609,-83.159075245277
Saint Antoine St & Mack Ave,4,42.349611209324,-83.0523462439973
Mack Ave & Moross Rd,4,42.4171693445652,-82.9107763094967
Livernois Ave & Elmhurst St,4,42.3761482842248,-83.1389917158004
Greenfield Rd & W McNichols Rd,3,42.415991657807,-83.1993207755568
Cameron St & E Grand Blvd,3,42.3742907648764,-83.0621512950859
Greenfield Rd & Plymouth Rd,3,42.3725682387206,-83.1975648307866
Gunston St & Kennebec St,3,42.4194535934031,-83.0026431528736
E 7 Mile Rd & Gratiot Ave,3,42.4350856409343,-82.9777003501481
W Chicago St & Braile St,3,42.3646012481261,-83.2434913349749
W 7 Mile Rd & W Outer Dr,3,42.4311786710546,-83.1754839993817
Van Dyke St & E 7 Mile Rd,3,42.4339779453245,-83.0242614652819
N I 75 Service Drive & 8 Mile Rd,3,42.4468215742628,-83.09435738106
Saint Antoine St & Clinton St,3,42.3369536246705,-83.0418758117109
Schaefer Hwy & W McNichols Rd,3,42.416598675301,-83.1798105729848
French Rd & Gratiot Ave,3,42.4003891277352,-83.0004648202486
Dale St & Riverview St,3,42.3868895600093,-83.2731808089105
W 7 Mile Rd & Heyden St,3,42.4295341964473,-83.240776856916
Rossiter St & Morang Dr,2,42.4256845972343,-82.948912054951
Henderson St & Renville St,2,42.3336908086033,-83.1479422922186
Macomb St & Chene St,2,42.343030027516,-83.0257992793559
Lauder St & Belton St,2,42.3535733348853,-83.1893759995277
Castleton St & Schaefer Hwy,2,42.3762580933516,-83.1781149351394
Hubbell St & Orangelawn St,2,42.3680760773836,-83.1875903584427
Saint Marys St & Puritan St,2,42.4086136677735,-83.2065688212647
