Zipcode,Count,latitude,longitude
48228,171193,54.9254711,23.8801514
48227,146162,54.9245084,23.8807347
48235,142155,49.22424,26.09528
48219,140625,42.4206949,-83.2516923
48205,134628,52.2366364,8.0259949
48224,120044,58.705872,25.9457564
48234,109736,49.2498711,26.1014556
48238,107071,49.2199367,26.0076561
48221,86126,58.7029261,25.9718853
48204,82784,58.7342423,26.2740099
48213,79127,58.7088933,26.0353357
48207,75807,58.749031,26.2042644
48223,64075,58.7950666,26.0040982
48210,61181,44.336106,3.4194603
48203,60942,36.1463851,0.8383149
48209,58585,42.3097888,-83.1104275
48214,57371,42.3635241,-82.9975533
48206,56628,58.7719135,26.1023818
48226,51635,42.3325448,-83.0489929
48202,47858,58.7298024,26.1941638
48201,46530,54.9233076,23.8725598
     ,44379,,
48215,39620,49.3567958,26.1833969
48208,37427,58.754671,26.2434093
48212,33343,42.4017449,-83.0602968
48216,17567,58.7220367,25.9617034
48217,16807,49.3446778,26.0682778
48211,14683,58.7142136,25.9916451
48239,10861,42.3712545,-83.2669721
48236,10124,49.20261,26.09356
0    ,5200,-0.0584893,-78.3284371
48126,3806,49.3489475,25.6167877
48225,1211,54.9232032,23.8827816
48146,1021,49.2943641,25.5595631
48240,760,44.2739328,3.8315823
48243,737,54.9265411,23.8854947
0,684,-0.0584893,-78.3284371
48127,580,42.3358725,-83.2737441
48122,250,49.3962519,25.578581
48230,148,44.4599237,3.3432062
48075,117,35.1782489,129.1760189
48124,71,49.3855583,25.5477303
48120,52,44.8032451,3.4239942
48237,47,49.1801918,26.1115045
48089,26,42.4695165,-83.0004049
48091,24,42.4700864,-83.0603151
48220,20,44.3683396,3.7913714
48021,19,58.7364801,25.8833091
48033,13,49.2360308,25.0078956
48030,13,49.2835233,25.0054567
