OBJECTID,Zip Code,Shape Area,Shape Length
7,48126,50428.26171875,21472.5016505365
10,48201,8991725.37890625,15207.3347569746
11,48202,15902220.3671875,21482.4061284112
12,48203,25058287.9882813,36653.5221362477
13,48204,23860085.53125,21326.313316569
14,48205,30218397.1015625,27374.9873037198
15,48206,14693509.2460938,18275.6023536742
16,48207,38274970.7265625,36999.0960185045
17,48208,15225967.0429688,21339.3327292774
18,48209,32751908.9726563,27475.7188552491
19,48210,23382172.3945313,22234.8969832773
20,48211,18235598.171875,29550.1326994164
21,48212,17114172.1132813,25415.9649876986
22,48213,31007821.625,30172.9762978983
23,48214,27013691.0078125,23948.771026401
24,48215,18750544.65625,20438.37996086
25,48216,10755439.6132813,18320.3244719186
26,48217,11127881.1523438,16487.258338917
28,48219,40103184.8359375,27915.3794846446
29,48221,24702346.234375,23564.6241021689
30,48223,28672777.1679688,23860.7232843803
31,48224,27428432.8710938,23331.1284952904
32,48225,426005.90625,14687.7189217287
33,48226,5765321.61328125,15789.2676902569
34,48227,35645284.0898438,27757.4441005823
35,48228,42275623.5390625,40037.4555342515
38,48233,159756.390625,1994.74037707186
39,48234,37179231.4882813,37903.2616843429
40,48235,29697499.9804688,24043.9075411601
41,48236,1697226.86328125,7870.28917389994
42,48238,25658001.640625,22884.4136751936
43,48239,9005061.44140625,19292.256945926
44,48240,392987.76953125,10708.8296415317
45,48243,68096.953125,1268.72847646734
