OBJECTID,Zip Code,Shape Area,Shape Length,latitude,longitude
7,48126,50428.26171875,21472.5016505365,49.3489475,25.6167877
10,48201,8991725.37890625,15207.3347569746,54.9233076,23.8725598
11,48202,15902220.3671875,21482.4061284112,58.7298024,26.1941638
12,48203,25058287.9882813,36653.5221362477,36.1463851,0.8383149
13,48204,23860085.53125,21326.313316569,58.7342423,26.2740099
14,48205,30218397.1015625,27374.9873037198,52.2366364,8.0259949
15,48206,14693509.2460938,18275.6023536742,58.7719135,26.1023818
16,48207,38274970.7265625,36999.0960185045,58.749031,26.2042644
17,48208,15225967.0429688,21339.3327292774,58.754671,26.2434093
18,48209,32751908.9726563,27475.7188552491,42.3097888,-83.1104275
19,48210,23382172.3945313,22234.8969832773,44.336106,3.4194603
20,48211,18235598.171875,29550.1326994164,58.7142136,25.9916451
21,48212,17114172.1132813,25415.9649876986,42.4017449,-83.0602968
22,48213,31007821.625,30172.9762978983,58.7088933,26.0353357
23,48214,27013691.0078125,23948.771026401,42.3635241,-82.9975533
24,48215,18750544.65625,20438.37996086,49.3567958,26.1833969
25,48216,10755439.6132813,18320.3244719186,58.7220367,25.9617034
26,48217,11127881.1523438,16487.258338917,49.3446778,26.0682778
28,48219,40103184.8359375,27915.3794846446,42.4206949,-83.2516923
29,48221,24702346.234375,23564.6241021689,58.7029261,25.9718853
30,48223,28672777.1679688,23860.7232843803,58.7950666,26.0040982
31,48224,27428432.8710938,23331.1284952904,58.705872,25.9457564
32,48225,426005.90625,14687.7189217287,54.9232032,23.8827816
33,48226,5765321.61328125,15789.2676902569,42.3325448,-83.0489929
34,48227,35645284.0898438,27757.4441005823,54.9245084,23.8807347
35,48228,42275623.5390625,40037.4555342515,54.9254711,23.8801514
38,48233,159756.390625,1994.74037707186,49.2530513,26.2144219
39,48234,37179231.4882813,37903.2616843429,49.2498711,26.1014556
40,48235,29697499.9804688,24043.9075411601,49.22424,26.09528
41,48236,1697226.86328125,7870.28917389994,49.20261,26.09356
42,48238,25658001.640625,22884.4136751936,49.2199367,26.0076561
43,48239,9005061.44140625,19292.256945926,42.3712545,-83.2669721
44,48240,392987.76953125,10708.8296415317,44.2739328,3.8315823
45,48243,68096.953125,1268.72847646734,54.9265411,23.8854947
