"W Grand Blvd & Lincoln St","4931"
"Lesure St & W Outer Dr","4117"
"Moross Rd & Northdeuft Blvd","3756"
"Mack Ave & Beaubien St","3500"
"Gratiot Ave & 8 Mile Rd","2967"
"Van Dyke St & E 7 Mile Rd","2821"
"Mack Ave & Mount Elliott St","2698"
"N I 75 Service Drive & Mack Ave","2647"
"Greenfield Rd & Plymouth Rd","2644"
"","2638"
"W 7 Mile Rd & Grandview St","2542"
"Hayes St & E 7 Mile Rd","2536"
"Grand Service Drive & Linwood St","2530"
"Greenfield Rd & Chalfonte St","2480"
"Pitt St & Central St","2417"
"W McNichols Rd & Livernois Ave","2293"
"Schaefer Hwy & W McNichols Rd","2291"
"Cadieux Rd & Harper Ave","2269"
"E 7 Mile Rd & E Outer Dr","2247"
"Chalmers St & E 7 Mile Rd","2217"
"Woodward Ave & W Stimson St","2208"
"Greenfield Rd & W 7 Mile Rd","2158"
"Bagley St & 3rd St","2151"
"Wyoming St & 8 Mile Rd","2145"
"E Lafayette St & Beaubien St","2129"
"W McNichols Rd & E McNichols Rd","2098"
"Macomb St & Chene St","2078"
"Telegraph Rd & W 7 Mile Rd","2073"
"E 7 Mile Rd & Gratiot Ave","2068"
"Clairmount St & Woodward Ave","2019"
"Lahser Rd & 8 Mile Rd","2011"
"Waverly & Dexter Ave","1945"
"Grand River Ave & Livernois Ave","1926"
"8 Mile Rd & Ralston St","1846"
"W Davison St & Linwood St","1846"
"Schaefer Hwy & Florence St","1846"
"Fullerton St & Linwood St","1843"
"E Alexandrine St & W Alexandrine St","1842"
"E Jefferson Ave & Saint Aubin St","1839"
"Elijah McCoy Dr & Lincoln St","1809"
"Grand River Ave & W McNichols Rd","1788"
"E Adams Ave & Woodward Ave","1766"
"E Outer Dr & ","1752"
"W I 96 Service Drive & W Grand Blvd","1749"
"W Chicago St & Greenfield Rd","1725"
"Chene St & E Jefferson Ave","1725"
"Peterboro St & Woodward Ave","1701"
"3rd St & Peterboro St","1697"
"Puritan St & Schaefer Hwy","1693"
"Cadillac Ave & Gratiot Ave","1678"
