"Label (Grouping)","Wayne County, Michigan!!Estimate","Wayne County, Michigan!!Margin of Error","Wayne County, Michigan!!Percent","Wayne County, Michigan!!Percent Margin of Error"
"SEX AND AGE","","","",""
"    Total population","1,781,641","*****","1,781,641","(X)"
"        Male","864,475","±50","48.5%","±0.1"
"        Female","917,166","±50","51.5%","±0.1"
"        Sex ratio (males per 100 females)","94.3","±0.1","(X)","(X)"
"        Under 5 years","113,837","±48","6.4%","±0.1"
"        5 to 9 years","112,593","±1,903","6.3%","±0.1"
"        10 to 14 years","121,537","±1,896","6.8%","±0.1"
"        15 to 19 years","114,949","±26","6.5%","±0.1"
"        20 to 24 years","113,335","±25","6.4%","±0.1"
"        25 to 34 years","255,583","±41","14.3%","±0.1"
"        35 to 44 years","210,996","±44","11.8%","±0.1"
"        45 to 54 years","224,266","±37","12.6%","±0.1"
"        55 to 59 years","116,328","±2,046","6.5%","±0.1"
"        60 to 64 years","116,762","±2,044","6.6%","±0.1"
"        65 to 74 years","169,483","±36","9.5%","±0.1"
"        75 to 84 years","77,737","±1,115","4.4%","±0.1"
"        85 years and over","34,235","±1,113","1.9%","±0.1"
"        Median age (years)","37.7","±0.2","(X)","(X)"
"        Under 18 years","420,181","*****","23.6%","*****"
"        16 years and over","1,408,500","±998","79.1%","±0.1"
"        18 years and over","1,361,460","*****","76.4%","*****"
"        21 years and over","1,295,915","±1,239","72.7%","±0.1"
"        62 years and over","349,580","±1,843","19.6%","±0.1"
"        65 years and over","281,455","±19","15.8%","±0.1"
"        18 years and over","1,361,460","*****","1,361,460","(X)"
"            Male","649,362","±21","47.7%","±0.1"
"            Female","712,098","±22","52.3%","±0.1"
"            Sex ratio (males per 100 females)","91.2","±0.1","(X)","(X)"
"        65 years and over","281,455","±19","281,455","(X)"
"            Male","120,583","±18","42.8%","±0.1"
"            Female","160,872","±25","57.2%","±0.1"
"            Sex ratio (males per 100 females)","75.0","±0.1","(X)","(X)"
"RACE","","","",""
"    Total population","1,781,641","*****","1,781,641","(X)"
"        One race","1,689,643","±4,006","94.8%","±0.2"
"        Two or More Races","91,998","±4,006","5.2%","±0.2"
"        One race","1,689,643","±4,006","94.8%","±0.2"
"            White","905,956","±2,431","50.8%","±0.1"
"            Black or African American","670,722","±3,391","37.6%","±0.2"
"            American Indian and Alaska Native","5,497","±657","0.3%","±0.1"
"                Cherokee tribal grouping","319","±135","0.0%","±0.1"
"                Chippewa tribal grouping","893","±251","0.1%","±0.1"
"                Navajo tribal grouping","19","±21","0.0%","±0.1"
"                Sioux tribal grouping","39","±48","0.0%","±0.1"
"            Asian","61,624","±1,238","3.5%","±0.1"
"                Asian Indian","24,956","±1,852","1.4%","±0.1"
"                Chinese","6,860","±1,086","0.4%","±0.1"
"                Filipino","4,513","±735","0.3%","±0.1"
"                Japanese","1,376","±406","0.1%","±0.1"
"                Korean","2,509","±471","0.1%","±0.1"
"                Vietnamese","2,325","±588","0.1%","±0.1"
"                Other Asian","19,085","±1,551","1.1%","±0.1"
"            Native Hawaiian and Other Pacific Islander","350","±122","0.0%","±0.1"
"                Chamorro","85","±59","0.0%","±0.1"
"                Native Hawaiian","42","±35","0.0%","±0.1"
"                Samoan","107","±60","0.0%","±0.1"
"                Other Native Hawaiian and Other Pacific Islander","116","±130","0.0%","±0.1"
"            Some Other Race","45,494","±2,368","2.6%","±0.1"
"        Two or More Races","91,998","±4,006","5.2%","±0.2"
"            White and Black or African American","25,326","±2,600","1.4%","±0.1"
"            White and American Indian and Alaska Native","8,942","±535","0.5%","±0.1"
"            White and Asian","13,082","±1,219","0.7%","±0.1"
"            White and Some Other Race","28,136","±1,801","1.6%","±0.1"
"            Black or African American and American Indian and Alaska Native","3,492","±616","0.2%","±0.1"
"            Black or African American and Some Other Race","2,318","±588","0.1%","±0.1"
"Race alone or in combination with one or more other races","","","",""
"    Total population","1,781,641","*****","1,781,641","(X)"
"        White","989,432","±4,159","55.5%","±0.2"
"        Black or African American","710,260","±1,461","39.9%","±0.1"
"        American Indian and Alaska Native","23,159","±1,506","1.3%","±0.1"
"        Asian","78,346","±829","4.4%","±0.1"
"        Native Hawaiian and Other Pacific Islander","1,683","±423","0.1%","±0.1"
"        Some Other Race","80,059","±3,005","4.5%","±0.2"
"HISPANIC OR LATINO AND RACE","","","",""
"    Total population","1,781,641","*****","1,781,641","(X)"
"        Hispanic or Latino (of any race)","112,699","*****","6.3%","*****"
"            Mexican","79,125","±2,200","4.4%","±0.1"
"            Puerto Rican","12,923","±1,215","0.7%","±0.1"
"            Cuban","2,472","±628","0.1%","±0.1"
"            Other Hispanic or Latino","18,179","±1,777","1.0%","±0.1"
"        Not Hispanic or Latino","1,668,942","*****","93.7%","*****"
"            White alone","866,868","±1,053","48.7%","±0.1"
"            Black or African American alone","666,184","±3,241","37.4%","±0.2"
"            American Indian and Alaska Native alone","3,226","±446","0.2%","±0.1"
"            Asian alone","61,215","±1,224","3.4%","±0.1"
"            Native Hawaiian and Other Pacific Islander alone","314","±113","0.0%","±0.1"
"            Some Other Race alone","7,876","±1,233","0.4%","±0.1"
"            Two or More Races","63,259","±3,584","3.6%","±0.2"
"                Two races including Some Other Race","8,011","±866","0.4%","±0.1"
"                Two races excluding Some Other Race, and three or more races","55,248","±3,395","3.1%","±0.2"
"Total housing units","792,169","±208","(X)","(X)"
"CITIZEN, VOTING AGE POPULATION","","","",""
"    Citizen, 18 and over population","1,300,682","±2,261","1,300,682","(X)"
"        Male","619,177","±1,108","47.6%","±0.1"
"        Female","681,505","±1,529","52.4%","±0.1"
